t,Corr0,Corr1,Corr2,Corr3,Corr4,Corr5,Corr6,Corr7,Corr8,Corr9,Corr10,Corr11,Corr12,Corr13,Corr14,Corr15,Corr16,Corr17,Corr18,Corr19,Corr20,Corr21,Corr22,Corr23,Corr24,Corr25,Corr26,Corr27,Corr28,Corr29,Corr30,Corr31,Corr32,Corr33,Corr34,Corr35,Corr36,Corr37,Corr38,Corr39,Corr40,Corr41,Corr42,Corr43,Corr44,Corr45,Corr46,Corr47,Corr48,Corr49,Corr50,Corr51,Corr52,Corr53,Corr54,Corr55,Corr56,Corr57,Corr58,Corr59,Corr60,Corr61,Corr62,Corr63,Corr64,Corr65,Corr66,Corr67,Corr68,Corr69,Corr70,Corr71,Corr72,Corr73,Corr74,Corr75,Corr76,Corr77,Corr78,Corr79,Corr80,Corr81,Corr82,Corr83,Corr84,Corr85,Corr86,Corr87,Corr88,Corr89,Corr90,Corr91,Corr92,Corr93,Corr94,Corr95,Corr96,Corr97,Corr98,Corr99
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010101,0,1,0.698557,0.570701,0.484881,0.435304,0.390237,0.3621,0.333883,0.307054,0.289456,0.275625,0.263035,0.252194,0.246524,0.240856,0.233188,0.226351,0.218835,0.212786,0.209476,0.206588,0.206717,0.200035,0.195238,0.194372,0.18868,0.180371,0.174642,0.171083,0.169386,0.168048,0.162696,0.159529,0.154097,0.150522,0.144273,0.142001,0.140704,0.138366,0.138643,0.13533,0.132484,0.131539,0.131965,0.129731,0.124809,0.123274,0.122208,0.120825,0.12234,0.123595,0.121253,0.11774,0.114076,0.111206,0.109263,0.107462,0.103782,0.101718,0.10204,0.101958,0.101798,0.0999445,0.0982168,0.0968331,0.0985603,0.0956323,0.094558,0.0927456,0.0892428,0.0873175,0.0857562,0.0862938,0.0856137,0.0821087,0.0805977,0.0826246,0.0829084,0.0852348,0.0841403,0.0829108,0.0794097,0.0782155,0.0765968,0.0750192,0.0727789,0.0732785,0.0723717,0.0716318,0.0718217,0.0716234,0.0691969,0.0690308,0.0683365,0.0655246,0.0641904,0.0644092,0.0627712,0.0642314
0.020202,0,0.698557,1,0.811691,0.698906,0.627674,0.564815,0.524906,0.486269,0.453912,0.431607,0.41411,0.397517,0.382911,0.370107,0.359021,0.348974,0.339028,0.328106,0.317261,0.308866,0.302046,0.297859,0.292336,0.283644,0.278324,0.270556,0.263412,0.256719,0.253942,0.247715,0.245975,0.240544,0.235801,0.23045,0.226977,0.21878,0.213536,0.209042,0.2044,0.205619,0.201776,0.19797,0.198259,0.195857,0.19264,0.186893,0.185786,0.181985,0.180932,0.182432,0.182384,0.179744,0.176234,0.172453,0.168776,0.165911,0.16605,0.162939,0.160454,0.159071,0.15752,0.156711,0.153055,0.150298,0.148434,0.149539,0.147403,0.144855,0.142191,0.139429,0.138703,0.136029,0.135153,0.133265,0.129816,0.127997,0.128884,0.127201,0.128569,0.126858,0.124322,0.124503,0.123086,0.122219,0.120358,0.118303,0.117167,0.116168,0.114218,0.112813,0.11296,0.109261,0.109813,0.108798,0.10587,0.102216,0.101995,0.0991233,0.0980871
0.030303,0,0.570701,0.811691,1,0.859486,0.766612,0.691042,0.63904,0.592897,0.553703,0.524942,0.501808,0.481925,0.464394,0.447283,0.433584,0.419217,0.403363,0.390159,0.378312,0.366907,0.360194,0.355511,0.348181,0.33709,0.332126,0.324132,0.31575,0.310259,0.30397,0.29763,0.29422,0.285524,0.281705,0.276215,0.271338,0.26327,0.25889,0.25369,0.249884,0.24886,0.243326,0.240415,0.237754,0.234595,0.232143,0.225253,0.22326,0.218423,0.21901,0.21966,0.21775,0.214531,0.211702,0.207817,0.205023,0.200146,0.198484,0.19489,0.191263,0.189064,0.187048,0.187086,0.182958,0.181551,0.178797,0.181014,0.179426,0.17674,0.173535,0.170371,0.169259,0.166495,0.164349,0.161838,0.15917,0.157681,0.157695,0.155738,0.156754,0.155172,0.153679,0.155161,0.153689,0.151833,0.148096,0.146618,0.146819,0.146531,0.145886,0.142462,0.141048,0.138542,0.138262,0.13741,0.134968,0.130035,0.130043,0.1269,0.126363
0.040404,0,0.484881,0.698906,0.859486,1,0.892262,0.80978,0.744203,0.689524,0.646113,0.610548,0.582651,0.559475,0.53989,0.519115,0.503623,0.488445,0.47129,0.456164,0.441155,0.430015,0.420705,0.413406,0.404562,0.393774,0.38734,0.377758,0.367759,0.361634,0.354141,0.345926,0.340729,0.330997,0.326185,0.321135,0.31657,0.309046,0.305372,0.299519,0.296175,0.292839,0.287872,0.286227,0.284784,0.280981,0.28032,0.272505,0.269386,0.263969,0.26279,0.262844,0.25981,0.255278,0.251762,0.24756,0.243562,0.238414,0.236162,0.23151,0.227747,0.224494,0.223269,0.22166,0.21685,0.215977,0.213388,0.215413,0.214157,0.2113,0.206525,0.202472,0.200566,0.197537,0.194729,0.191082,0.186257,0.186047,0.18631,0.184337,0.183563,0.181219,0.177774,0.179038,0.176492,0.174636,0.171038,0.170246,0.169832,0.169235,0.168315,0.165011,0.163606,0.159722,0.159413,0.157571,0.154083,0.149271,0.14829,0.144368,0.143923
0.0505051,0,0.435304,0.627674,0.766612,0.892262,1,0.908857,0.837417,0.777809,0.727693,0.686614,0.655898,0.62782,0.604032,0.580658,0.563017,0.54644,0.531186,0.5129,0.498273,0.484913,0.473691,0.464785,0.454196,0.44088,0.432529,0.420766,0.410029,0.403149,0.393589,0.384615,0.377769,0.36754,0.361833,0.35593,0.350035,0.341399,0.337988,0.332046,0.32814,0.324168,0.31859,0.316368,0.313107,0.307861,0.305689,0.297222,0.294937,0.288435,0.28661,0.28658,0.283537,0.278194,0.274029,0.269953,0.265502,0.261808,0.25993,0.254786,0.250595,0.249319,0.247863,0.244803,0.24016,0.239079,0.236068,0.236761,0.235492,0.231852,0.227092,0.221321,0.220159,0.217298,0.214088,0.210854,0.206811,0.20625,0.205505,0.202763,0.201514,0.198521,0.194423,0.195759,0.193078,0.191344,0.186726,0.185733,0.185163,0.184044,0.182777,0.179766,0.178525,0.174417,0.173849,0.172304,0.168967,0.1643,0.163322,0.159587,0.160166
0.0606061,0,0.390237,0.564815,0.691042,0.80978,0.908857,1,0.92307,0.85767,0.803452,0.757189,0.72281,0.691705,0.665447,0.64001,0.618914,0.597638,0.58189,0.562161,0.545114,0.528995,0.514948,0.504085,0.492201,0.477377,0.46927,0.457219,0.447434,0.439739,0.428516,0.419272,0.40891,0.397412,0.389833,0.384535,0.377743,0.369588,0.365477,0.360062,0.356551,0.352582,0.347499,0.344881,0.341265,0.336752,0.333558,0.324645,0.322254,0.313995,0.312804,0.311738,0.307209,0.301718,0.298507,0.293753,0.289571,0.286462,0.285248,0.2792,0.274955,0.273013,0.271661,0.268055,0.263829,0.26172,0.259311,0.260157,0.259124,0.255403,0.249629,0.244549,0.242895,0.239881,0.236028,0.232513,0.227044,0.226088,0.224287,0.22225,0.220297,0.217598,0.21378,0.214893,0.212365,0.210397,0.206139,0.206637,0.206568,0.205414,0.20302,0.20004,0.19773,0.194044,0.192603,0.189352,0.184539,0.180286,0.17885,0.175002,0.175517
0.0707071,0,0.3621,0.524906,0.63904,0.744203,0.837417,0.92307,1,0.93026,0.873163,0.823922,0.78575,0.753951,0.723283,0.694129,0.671225,0.649111,0.630897,0.610771,0.592326,0.573802,0.557218,0.544992,0.531698,0.515943,0.507166,0.49343,0.484332,0.476043,0.463934,0.453837,0.443499,0.431532,0.42296,0.417818,0.411119,0.40128,0.397249,0.390649,0.385742,0.38297,0.376539,0.374014,0.369641,0.364383,0.35955,0.350035,0.346797,0.33712,0.334448,0.331202,0.326316,0.320546,0.317117,0.312054,0.307856,0.305403,0.304124,0.298751,0.294526,0.292311,0.290214,0.287213,0.282113,0.28001,0.27657,0.277149,0.275375,0.271934,0.266009,0.261434,0.259462,0.254637,0.250774,0.247878,0.242206,0.240309,0.238316,0.235701,0.23368,0.231002,0.22729,0.229174,0.225213,0.223345,0.218974,0.218972,0.219103,0.217554,0.214727,0.211244,0.209269,0.206009,0.204603,0.201932,0.1982,0.194843,0.193559,0.189542,0.189153
0.0808081,0,0.333883,0.486269,0.592897,0.689524,0.777809,0.85767,0.93026,1,0.937584,0.88642,0.843875,0.80646,0.773416,0.741905,0.716486,0.693257,0.671986,0.650333,0.630281,0.610144,0.593218,0.580854,0.566204,0.549644,0.541649,0.52869,0.518496,0.508895,0.496156,0.487707,0.477413,0.465858,0.455724,0.449398,0.441359,0.43042,0.426378,0.41859,0.414214,0.410844,0.404168,0.400566,0.396374,0.390265,0.385519,0.375663,0.372261,0.361735,0.35895,0.355564,0.349717,0.343034,0.339328,0.333194,0.329353,0.326202,0.323737,0.318536,0.314497,0.311168,0.309065,0.306506,0.301208,0.299233,0.295324,0.295479,0.293652,0.290139,0.285082,0.281628,0.279218,0.275503,0.271386,0.269256,0.262803,0.26155,0.259795,0.257276,0.25501,0.251858,0.248138,0.249287,0.245688,0.243216,0.238353,0.237859,0.2379,0.236115,0.23277,0.228835,0.226048,0.222678,0.221614,0.217455,0.213852,0.210887,0.209243,0.205296,0.20522
0.0909091,0,0.307054,0.453912,0.553703,0.646113,0.727693,0.803452,0.873163,0.937584,1,0.944255,0.898985,0.858835,0.823392,0.788282,0.76194,0.73627,0.712084,0.6917,0.671444,0.652239,0.634038,0.620585,0.6051,0.587434,0.578424,0.565487,0.55498,0.542339,0.530206,0.520641,0.509768,0.497703,0.485739,0.479542,0.471119,0.458933,0.454228,0.447654,0.443015,0.439419,0.431224,0.427233,0.421595,0.415027,0.410502,0.399555,0.396159,0.385568,0.381759,0.377665,0.370905,0.363034,0.359224,0.35393,0.350113,0.346092,0.343591,0.338524,0.333167,0.329069,0.326118,0.322516,0.316752,0.314395,0.310164,0.310255,0.307732,0.304459,0.298968,0.295722,0.293168,0.288727,0.283952,0.280969,0.275141,0.274078,0.272935,0.270976,0.268075,0.264673,0.260193,0.261659,0.257622,0.255903,0.251867,0.250908,0.25069,0.248655,0.245326,0.241706,0.240551,0.2371,0.236212,0.231736,0.22781,0.225492,0.223797,0.219778,0.219594
