t,Cov0,Cov1,Cov2,Cov3,Cov4,Cov5,Cov6,Cov7,Cov8,Cov9,Cov10,Cov11,Cov12,Cov13,Cov14,Cov15,Cov16,Cov17,Cov18,Cov19,Cov20,Cov21,Cov22,Cov23,Cov24,Cov25,Cov26,Cov27,Cov28,Cov29,Cov30,Cov31,Cov32,Cov33,Cov34,Cov35,Cov36,Cov37,Cov38,Cov39,Cov40,Cov41,Cov42,Cov43,Cov44,Cov45,Cov46,Cov47,Cov48,Cov49,Cov50,Cov51,Cov52,Cov53,Cov54,Cov55,Cov56,Cov57,Cov58,Cov59,Cov60,Cov61,Cov62,Cov63,Cov64,Cov65,Cov66,Cov67,Cov68,Cov69,Cov70,Cov71,Cov72,Cov73,Cov74,Cov75,Cov76,Cov77,Cov78,Cov79,Cov80,Cov81,Cov82,Cov83,Cov84,Cov85,Cov86,Cov87,Cov88,Cov89,Cov90,Cov91,Cov92,Cov93,Cov94,Cov95,Cov96,Cov97,Cov98,Cov99
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010101,0,0.010086,0.00984187,0.0100523,0.00988279,0.00991709,0.00970759,0.00971335,0.0096137,0.00934612,0.00932379,0.00937138,0.00934763,0.00937468,0.00950114,0.00967277,0.00968764,0.00970108,0.00965848,0.00970816,0.00985893,0.00994448,0.0102377,0.0101774,0.0101189,0.0102809,0.0102549,0.0100219,0.00989536,0.00982738,0.00992019,0.0100016,0.00988246,0.0099124,0.00978201,0.00969876,0.00947827,0.00939908,0.00947668,0.00943664,0.00959836,0.00954901,0.00946724,0.00954101,0.00968101,0.0096672,0.00955,0.00950584,0.00961011,0.00963799,0.00989579,0.0101519,0.0101016,0.00988709,0.00963661,0.00949491,0.00939353,0.00930952,0.00917394,0.00908125,0.00924976,0.00937713,0.00943707,0.0094051,0.00932792,0.00934181,0.00952023,0.00925784,0.00917254,0.0090653,0.00879797,0.00864375,0.00856014,0.0087897,0.00884289,0.00862077,0.00847562,0.0087383,0.00883427,0.00923452,0.0091751,0.00909554,0.00862525,0.00858254,0.00846847,0.00838312,0.00814588,0.00830299,0.00819795,0.00818834,0.00839962,0.00853969,0.00836947,0.00841143,0.00840248,0.0081905,0.00817877,0.00834429,0.00821001,0.00847745
0.020202,0,0.00984187,0.0196803,0.0199712,0.0198985,0.0199748,0.0196266,0.0196689,0.0195582,0.0192995,0.0194203,0.0196679,0.0197334,0.0198828,0.0199251,0.0201404,0.0202517,0.0202969,0.0202285,0.0202194,0.0203058,0.0203099,0.0206061,0.0207763,0.0205352,0.0205638,0.020541,0.0204445,0.0203187,0.0203762,0.0202652,0.0204497,0.0204098,0.0204663,0.0204347,0.0204293,0.0200774,0.0197434,0.0196671,0.0194727,0.0198847,0.019888,0.0197613,0.0200877,0.0200705,0.0200521,0.0199759,0.020012,0.0199903,0.0201605,0.0206129,0.0209262,0.0209175,0.0206723,0.0203496,0.0201293,0.0199245,0.020094,0.0201193,0.0200105,0.0201422,0.0202367,0.0202933,0.0201191,0.0199392,0.0200031,0.020177,0.0199327,0.0196282,0.0194142,0.0192007,0.0191797,0.0189672,0.0192299,0.0192275,0.0190389,0.018802,0.0190403,0.018933,0.0194576,0.0193232,0.0190512,0.0188901,0.0188664,0.0188751,0.0187872,0.0184962,0.0185447,0.0183815,0.0182381,0.0184298,0.0188134,0.01846,0.0186911,0.0186866,0.0184856,0.0181925,0.0184576,0.0181099,0.0180837
0.030303,0,0.0100523,0.0199712,0.0307606,0.0305929,0.0305003,0.030021,0.0299369,0.0298135,0.0294328,0.0295297,0.0297962,0.0299093,0.0301472,0.0301049,0.0304091,0.030415,0.0301906,0.0300726,0.0301427,0.0301571,0.0302797,0.0307482,0.0309366,0.0305106,0.0306786,0.0307658,0.0306383,0.0307004,0.030493,0.0304408,0.0305807,0.0302879,0.0305683,0.0306209,0.0305325,0.0302053,0.0299259,0.0298396,0.0297622,0.0300878,0.0299842,0.0300025,0.0301166,0.030055,0.03021,0.0300999,0.0300654,0.029996,0.0305092,0.0310293,0.0312352,0.0312123,0.031046,0.0306582,0.0305705,0.0300497,0.0300285,0.0300857,0.0298207,0.02993,0.0300426,0.0302883,0.0300673,0.0301118,0.0301235,0.0305349,0.0303339,0.0299408,0.0296219,0.0293321,0.0292611,0.0290238,0.0292348,0.0291923,0.0291847,0.0289578,0.0291255,0.0289805,0.0296588,0.02955,0.0294421,0.029432,0.0294513,0.0293155,0.028901,0.0286588,0.0290522,0.0289871,0.0291233,0.0290965,0.0293691,0.0292638,0.0294216,0.029506,0.0294627,0.0289344,0.0294217,0.0289855,0.0291257
0.040404,0,0.00988279,0.0198985,0.0305929,0.0411879,0.041078,0.0407075,0.040342,0.0401209,0.0397421,0.0397425,0.0400331,0.0401786,0.0405558,0.0404302,0.0408718,0.0410064,0.040818,0.0406854,0.0406735,0.0408981,0.0409241,0.0413743,0.0415949,0.0412421,0.0414011,0.0414903,0.0412927,0.0414072,0.0411086,0.0409402,0.04098,0.0406292,0.040957,0.0411952,0.0412203,0.0410291,0.040846,0.0407663,0.040819,0.0409687,0.0410477,0.0413329,0.0417428,0.0416547,0.0422119,0.0421363,0.0419777,0.0419474,0.0423607,0.0429641,0.043125,0.042977,0.0427227,0.0422604,0.0420239,0.0414202,0.0413434,0.0413549,0.0410892,0.0411235,0.0414956,0.0415249,0.0412372,0.0414507,0.0416008,0.0420477,0.0418949,0.0414207,0.040793,0.0403366,0.040122,0.0398465,0.040082,0.0398836,0.0395179,0.0395364,0.0398179,0.0396927,0.0401891,0.0399333,0.0394104,0.0392978,0.0391358,0.039017,0.0386233,0.0385065,0.0388868,0.0387394,0.038881,0.0389979,0.0394195,0.0390393,0.0392533,0.0391522,0.0389211,0.0384342,0.038822,0.0381574,0.0383861
0.0505051,0,0.00991709,0.0199748,0.0305003,0.041078,0.0514593,0.0510682,0.0507406,0.0505873,0.0500308,0.0499569,0.0503726,0.0503959,0.0507171,0.0505486,0.0510724,0.0512774,0.051423,0.0511326,0.0513492,0.0515503,0.0515045,0.051994,0.052197,0.0516132,0.0516752,0.051656,0.0514602,0.0515964,0.0510677,0.0508792,0.0507851,0.0504273,0.050783,0.0510354,0.0509446,0.0506616,0.0505323,0.0505151,0.0505499,0.0506922,0.0507772,0.051065,0.0512985,0.0510138,0.0514528,0.05137,0.0513713,0.0512327,0.0516408,0.0523602,0.0526054,0.0523501,0.051977,0.0515098,0.0512038,0.0508406,0.0508628,0.0508722,0.0505352,0.0510491,0.0514911,0.0512607,0.0510478,0.0512876,0.051442,0.0516569,0.0514936,0.0508012,0.0501376,0.0492837,0.0492277,0.048994,0.049256,0.0491932,0.0490459,0.0489909,0.0490922,0.0488014,0.0493144,0.0488973,0.0481767,0.0480277,0.0478552,0.0477839,0.0471313,0.0469563,0.0473899,0.0470901,0.0471938,0.0474879,0.0480793,0.047651,0.0478487,0.0478545,0.0477068,0.0472856,0.0477925,0.047147,0.0477487
0.0606061,0,0.00970759,0.0196266,0.030021,0.0407075,0.0510682,0.0613545,0.0610716,0.0609088,0.0603171,0.0601559,0.060614,0.060628,0.0610097,0.0608369,0.0613037,0.0612369,0.0615096,0.0611951,0.0613402,0.0614059,0.061137,0.0615738,0.0617641,0.0610229,0.0612183,0.0612908,0.0613164,0.0614526,0.0607103,0.0605621,0.0600246,0.0595379,0.0597421,0.0602051,0.060031,0.0598861,0.0596649,0.0598124,0.0599756,0.0602036,0.0604758,0.0607845,0.0610514,0.0609306,0.0613044,0.0612674,0.0612888,0.0608995,0.0615411,0.0621922,0.0622365,0.0619959,0.0618246,0.0612033,0.060979,0.0607417,0.0609478,0.0608712,0.0605445,0.061039,0.0616223,0.061289,0.0612337,0.0613055,0.0617009,0.061979,0.0618694,0.0611056,0.0601794,0.0594619,0.0593038,0.0590574,0.0592956,0.0592328,0.0587935,0.0586395,0.0585039,0.0584089,0.0588668,0.0585229,0.0578427,0.0575684,0.0574737,0.0573716,0.056814,0.0570433,0.0577277,0.0573893,0.0572392,0.0577011,0.0581464,0.0578862,0.0578835,0.0574233,0.0568926,0.0566555,0.0571472,0.0564535,0.0571347
0.0707071,0,0.00971335,0.0196689,0.0299369,0.040342,0.0507406,0.0610716,0.0713449,0.0712398,0.0706862,0.070586,0.0710545,0.0712613,0.0715077,0.0711506,0.071694,0.071722,0.0719149,0.0716957,0.0718749,0.0718256,0.0713386,0.0717862,0.0719478,0.07112,0.0713456,0.0713273,0.0715731,0.0717382,0.0708778,0.070691,0.0702024,0.0697146,0.0698972,0.0705412,0.0704538,0.0701154,0.0699327,0.0699778,0.0699695,0.0705156,0.0706637,0.0710835,0.0713087,0.0710954,0.0712587,0.0712345,0.071124,0.0705073,0.0709546,0.0712522,0.0712867,0.0710248,0.0708247,0.0701102,0.0699088,0.0698316,0.0700719,0.0702367,0.069935,0.0704738,0.0709885,0.0708145,0.0706073,0.0707286,0.0709634,0.0712002,0.0709007,0.0701578,0.0691524,0.0685476,0.0683119,0.0676019,0.0679358,0.0680944,0.0676338,0.0672112,0.0670336,0.066797,0.067335,0.0669954,0.0663162,0.0662042,0.0657262,0.0656738,0.0650801,0.0651842,0.066028,0.0655428,0.0652828,0.065707,0.0663612,0.0662703,0.0663074,0.0660361,0.0658918,0.0660276,0.0666926,0.0659342,0.0663976
0.0808081,0,0.0096137,0.0195582,0.0298135,0.0401209,0.0505873,0.0609088,0.0712398,0.0822002,0.0814712,0.0815131,0.0819107,0.0818179,0.0820753,0.0816285,0.0821443,0.082221,0.0822196,0.0819419,0.0820929,0.0819792,0.0815207,0.0821245,0.0822394,0.0813255,0.0817881,0.0820325,0.0822444,0.0823166,0.0813629,0.0815414,0.0811164,0.0807829,0.0808382,0.0814408,0.0811866,0.080726,0.0805689,0.0804854,0.0806475,0.0811994,0.0814149,0.0817166,0.082077,0.0817331,0.0820123,0.0820601,0.0819488,0.0812072,0.081741,0.0821066,0.0820054,0.0815853,0.0813466,0.0803532,0.0802787,0.0800607,0.0800645,0.0803837,0.0801573,0.0805254,0.0811473,0.081117,0.0809185,0.0811308,0.081336,0.0814796,0.081155,0.080348,0.079549,0.0792614,0.0789079,0.0785089,0.0789149,0.079395,0.0787706,0.0785201,0.0784376,0.0782617,0.0788736,0.0784041,0.077712,0.0772991,0.0769635,0.0767649,0.0760378,0.0760027,0.0769537,0.076355,0.0759617,0.0764019,0.0769423,0.0768891,0.0770906,0.0763311,0.0763124,0.0767086,0.0773875,0.0766551,0.0773242
0.0909091,0,0.00934612,0.0192995,0.0294328,0.0397421,0.0500308,0.0603171,0.0706862,0.0814712,0.0918576,0.0917906,0.0922435,0.0921078,0.0923691,0.0916845,0.0923446,0.0923096,0.0921017,0.0921316,0.092449,0.0926402,0.0921065,0.0927531,0.0929085,0.0918809,0.0923294,0.0927532,0.0930593,0.0927365,0.0919125,0.0920192,0.0915606,0.091234,0.0910835,0.0918669,0.0916102,0.0909895,0.0907334,0.0909896,0.0911813,0.091807,0.091826,0.0921346,0.0922855,0.0918832,0.0923146,0.0922638,0.0921906,0.0915012,0.0919003,0.0921909,0.0919409,0.0912732,0.0910345,0.0902285,0.0902128,0.0897938,0.089828,0.0903066,0.0897656,0.0900214,0.0905149,0.0902289,0.0899543,0.0901099,0.0903019,0.0904404,0.0899034,0.0891289,0.0881885,0.0879814,0.0875821,0.0869764,0.0872845,0.0875805,0.0871786,0.0869804,0.0871112,0.0871367,0.0876501,0.0870994,0.0861411,0.0857692,0.0853108,0.0853821,0.084938,0.0847511,0.0857222,0.0850025,0.0846315,0.0853082,0.0865552,0.0865449,0.0868614,0.0859895,0.0859363,0.0867054,0.0874972,0.0867493,0.0874655
