t,mean
0,1
0.010101,0.99949
0.020202,0.999222
0.030303,0.999724
0.040404,1
0.0505051,0.999011
0.0606061,0.999021
0.0707071,1.00056
0.0808081,0.999675
0.0909091,0.998995
0.10101,0.998707
0.111111,1.0001
0.121212,0.999418
0.131313,1.00009
0.141414,1.00101
0.151515,1.00019
0.161616,1.00195
0.171717,1.00219
0.181818,1.00161
0.191919,1.00319
0.20202,1.00429
0.212121,1.00384
0.222222,1.00513
0.232323,1.00704
0.242424,1.00488
0.252525,1.00569
0.262626,1.0055
0.272727,1.00531
0.282828,1.00643
0.292929,1.00596
0.30303,1.00605
0.313131,1.0037
0.323232,1.00376
0.333333,1.00558
0.343434,1.00426
0.353535,1.00493
0.363636,1.00505
0.373737,1.00609
0.383838,1.00667
0.393939,1.00592
0.40404,1.00487
0.414141,1.00476
0.424242,1.00434
0.434343,1.00354
0.444444,1.00304
0.454545,1.00368
0.464646,1.00577
0.474747,1.00366
0.484848,1.00439
0.494949,1.00477
0.505051,1.00533
0.515152,1.00768
0.525253,1.00912
0.535354,1.00938
0.545455,1.00786
0.555556,1.007
0.565657,1.00658
0.575758,1.00726
0.585859,1.00905
0.59596,1.00971
0.606061,1.00998
0.616162,1.01291
0.626263,1.01187
0.636364,1.01361
0.646465,1.01452
0.656566,1.01497
0.666667,1.01519
0.676768,1.01494
0.686869,1.01271
0.69697,1.01277
0.707071,1.01236
0.717172,1.01047
0.727273,1.00936
0.737374,1.01055
0.747475,1.01224
0.757576,1.01361
0.767677,1.0122
0.777778,1.01214
0.787879,1.01065
0.79798,1.01095
0.808081,1.00817
0.818182,1.00876
0.828283,1.00415
0.838384,1.0041
0.848485,1.00421
0.858586,1.00356
0.868687,1.00045
0.878788,1.00187
0.888889,1.00133
0.89899,0.999773
0.909091,1.00181
0.919192,1.00362
0.929293,1.00456
0.939394,1.00695
0.949495,1.00562
0.959596,1.00453
0.969697,1.00677
0.979798,1.00636
0.989899,1.00328
1,1.00413
